iter	MAPE	RMSE
0	0.05732524663	0.9593319892
1	0.05505058355	0.9221749317
2	0.05287031445	0.8868249373
3	0.05081107321	0.853811023
4	0.04884061634	0.8224524747
5	0.0469174239	0.7921933982
6	0.04513047344	0.7635293946
7	0.04343535092	0.7366662022
8	0.04183764772	0.7111889632
9	0.04034046573	0.6870883946
10	0.03884895532	0.6639068575
11	0.03751421541	0.6426226079
12	0.03618169894	0.6218538076
13	0.03491631568	0.6022396054
14	0.03375587498	0.5841763401
15	0.0326416125	0.5667299474
16	0.03162910687	0.5506676622
17	0.03063409349	0.5352108233
18	0.02973565745	0.5210086049
19	0.02886624272	0.5071101364
20	0.02803542649	0.494117348
21	0.02724760095	0.4816404802
22	0.02651045336	0.4700320256
23	0.02579256583	0.4589132858
24	0.02516510292	0.4487402203
25	0.0245390415	0.4390340831
26	0.02397546412	0.4298967339
27	0.02343151859	0.4209779628
28	0.02291152968	0.4127875535
29	0.02240909133	0.4048134067
30	0.02192020137	0.3970030401
31	0.02149376629	0.3900683366
32	0.02108131151	0.3834803843
33	0.02072319972	0.377302506
34	0.0203600378	0.3715854101
35	0.02001466338	0.366240274
36	0.01970271888	0.3611016777
37	0.01939512465	0.3562257341
38	0.01912593392	0.3517661451
39	0.01885220518	0.3471918347
40	0.01860242213	0.3431624204
41	0.01835426474	0.3392899606
42	0.01814315491	0.3357033532
43	0.01793650288	0.332299493
44	0.01771909817	0.328904092
45	0.01751453289	0.3257497696
46	0.0173504214	0.3229261808
47	0.0171675565	0.3199888929
48	0.01700735425	0.3173936823
49	0.01685000238	0.3148750584
50	0.01670887247	0.3125239451
51	0.01655267059	0.3100117772
52	0.01641635388	0.3077879148
53	0.01629320648	0.3057809603
54	0.0161856778	0.3039776198
55	0.01607019032	0.3021129931
56	0.01596583642	0.3004882654
57	0.01588115629	0.2988390443
58	0.01580137684	0.2972530635
59	0.0157073929	0.2956207125
60	0.01562660015	0.2942389
61	0.01555292421	0.2928463978
62	0.01546788687	0.2914636631
63	0.01540306458	0.2902482693
64	0.01532065892	0.2889570578
65	0.0152635248	0.2878441791
66	0.01518942513	0.2865587344
67	0.01512583758	0.2855159736
68	0.01506785236	0.2845807286
69	0.01501088135	0.2835942702
70	0.01495691745	0.2826955156
71	0.01491017608	0.2818876699
72	0.01486539752	0.2810874486
73	0.01482140264	0.2803047608
74	0.01477975057	0.2795614894
75	0.01473265198	0.2787956458
76	0.01470351767	0.2780947298
77	0.01466384391	0.2773877721
78	0.01462355597	0.276657349
79	0.01457427951	0.2759476599
80	0.01453800105	0.2752647445
81	0.01450155856	0.2746336889
82	0.01446344849	0.2740274783
83	0.01443567922	0.2734807997
84	0.01440438344	0.2728675129
85	0.01436866175	0.2723030323
86	0.01434084601	0.2717384656
87	0.01430355697	0.2711430429
88	0.01427808678	0.2707037325
89	0.01424507421	0.2700989037
90	0.0142264338	0.2696800728
91	0.01418852511	0.269125823
92	0.01416545058	0.2686373571
93	0.01414320619	0.2682561947
94	0.0141201435	0.2678149253
95	0.01409656596	0.2674097057
96	0.01407088801	0.2669692626
97	0.01405652224	0.2665987998
98	0.01403303309	0.2661805141
99	0.01400305861	0.2657075678
100	0.01397945464	0.2653199984
101	0.01395904368	0.2649172779
102	0.01393870379	0.2645859208
103	0.01391978635	0.264210171
104	0.013907983	0.2639223728
105	0.01389647854	0.2636593256
106	0.01387564385	0.263306383
107	0.01386202894	0.2630135492
108	0.01383521011	0.2626377565
109	0.01381902823	0.2623756025
110	0.01379938271	0.2620321428
111	0.0137863346	0.261718219
112	0.01377245634	0.2614264088
113	0.01375663167	0.2611392694
114	0.01373994132	0.2608306715
115	0.01372800402	0.2605868562
116	0.01372144943	0.2604118549
117	0.01369985932	0.260059873
118	0.01368130638	0.2597600258
119	0.0136652703	0.2594666033
120	0.01365256664	0.2592399949
