iter	Passed	Remaining
0	9	148138
1	18	139352
2	28	142222
3	38	143691
4	47	142975
5	57	144507
6	66	143496
7	76	144155
8	88	147472
9	98	147517
10	107	146459
11	118	148118
12	126	146323
13	135	144832
14	144	144503
15	155	145248
16	163	144516
17	173	144434
18	182	143853
19	190	142979
20	200	143137
21	210	143362
22	222	144659
23	235	146952
24	246	147502
25	255	147042
26	263	146201
27	272	145533
28	280	144882
29	290	145083
30	300	144918
31	308	144127
32	318	144313
33	327	144340
34	337	144167
35	346	144058
36	357	144621
37	367	144580
38	375	144219
39	387	144850
40	397	144918
41	409	145986
42	421	146540
43	431	146835
44	440	146543
45	451	146706
46	460	146548
47	469	146242
48	479	146244
49	489	146303
50	499	146539
51	510	146799
52	519	146475
53	528	146357
54	538	146256
55	548	146256
56	726	190348
57	1086	279839
58	1386	351140
59	1675	417145
60	1975	483843
61	2284	550523
62	2611	619105
63	2620	611642
64	2630	604351
65	2639	597147
66	2669	594910
67	2681	588878
68	2690	582173
69	2700	576005
70	2711	570135
71	2724	564865
72	2735	559268
73	2745	553797
74	2755	548408
75	2765	543073
76	2773	537596
77	2782	532315
78	2792	527408
79	2802	522579
80	2812	518102
81	2821	513283
82	2830	508744
83	2841	504525
84	2851	500425
85	2860	496141
86	2869	491793
87	2877	487559
88	2886	483610
89	2895	479642
90	2904	475801
91	2915	472402
92	2925	468987
93	2934	465263
94	2942	461602
95	2950	458017
96	2958	454495
97	2967	451171
98	2975	447918
99	2986	444925
100	2994	441745
101	3004	438766
102	3013	435864
103	3024	433172
104	3032	430233
105	3040	427239
106	3051	424677
107	3059	421813
108	3069	419282
109	3077	416634
110	3086	414065
111	3096	411595
112	3105	409076
113	3113	406519
114	3121	403968
115	3131	401825
116	3140	399428
117	3149	397209
118	3160	395168
119	3172	393357
120	3181	391265
121	3194	389541
122	3204	387574
123	3212	385426
124	3222	383445
125	3231	381527
126	3240	379536
127	3248	377419
128	3258	375593
129	3266	373655
130	3276	371922
131	3287	370273
132	3295	368347
133	3305	366659
134	3312	364774
135	3320	362948
136	3328	361093
137	3337	359417
138	3346	357764
139	3355	356129
140	3366	354747
141	3374	353093
142	3385	351711
143	3394	350186
144	3405	348912
145	3416	347589
146	3425	346082
147	3433	344589
148	3444	343306
149	3454	341975
150	3463	340611
151	3473	339275
152	3484	338099
153	3493	336816
154	3503	335501
155	3513	334282
156	3522	333066
157	3533	331878
158	3542	330625
159	3551	329443
160	3559	328072
161	3568	326841
162	3576	325576
163	3584	324306
164	3594	323148
165	3601	321849
166	3609	320594
167	3617	319397
168	3625	318206
169	3635	317103
170	3643	315923
171	4153	358106
172	4425	379274
173	4710	401405
174	4995	423153
175	5258	442918
176	5881	492582
177	6376	530934
178	6384	528654
179	6394	526476
180	6403	524245
181	6440	524375
182	6449	522199
183	6457	519997
184	6468	518000
185	6480	516147
186	6491	514188
187	6499	512059
188	6508	510037
189	6517	507991
190	6527	506081
191	6536	504097
192	6546	502216
193	6555	500315
194	6564	498431
195	6574	496563
196	6582	494598
197	6591	492748
198	6600	490956
199	6611	489235
200	6621	487550
