iter	MAPE	RMSE	R2	MAE
132	0.3533426189	466674.2143	0.9133982875	235401.0413
133	0.3540460673	465898.1269	0.9136860884	235412.7404
134	0.3539521019	464301.5193	0.9142766609	234994.5555
135	0.3546430258	463607.4665	0.9145327533	235009.0983
136	0.3518892231	462081.0337	0.9150946306	234359.2016
137	0.351624468	460541.1977	0.9156595639	233918.4926
138	0.3517194339	458968.0263	0.91623478	233541.1011
139	0.3523048953	458338.8388	0.9164642858	233548.8585
140	0.3507379494	457194.0364	0.9168810624	232884.0982
141	0.3513309622	456728.6994	0.917050175	232892.1173
142	0.349175231	455759.6888	0.9174017797	232332.0073
143	0.3493006763	454728.1886	0.9177752382	232140.1046
144	0.3470973321	453362.1716	0.9182685075	231369.6588
145	0.3457076771	452195.3996	0.9186886542	230777.0261
146	0.3462273575	451822.3985	0.9188227409	230797.8313
147	0.3466792488	451325.591	0.9190011619	230807.1392
148	0.3460092224	449922.5919	0.9195039682	230394.384
149	0.3434485307	448699.3429	0.9199410782	229824.0702
150	0.3434347482	447303.4154	0.9204384385	229465.8006
151	0.3420363284	446469.2768	0.9207348971	229142.8461
152	0.3409229648	445382.1617	0.9211204349	228594.9107
153	0.3400157107	444464.7315	0.9214450638	228276.289
154	0.3387517709	443273.0369	0.9218657406	227809.4469
155	0.3362561021	442147.5973	0.9222619919	227143.9695
156	0.3349559835	441094.5129	0.9226318556	226640.8701
157	0.3330114422	440182.3223	0.9229515219	226234.3703
158	0.3333690693	439817.1673	0.9230793007	226244.4909
159	0.3330774696	439015.1062	0.9233595937	225975.4803
160	0.3331036837	437960.7148	0.9237272892	225705.3301
161	0.3325897669	437410.9782	0.923918647	225527.7061
162	0.3317623772	436251.5778	0.9243214345	225246.7887
163	0.3297963338	435367.2077	0.924627955	224878.3371
164	0.328246725	434511.5044	0.9249239475	224519.3933
165	0.3285309939	434159.2449	0.9250456269	224521.618
166	0.3287978838	433810.871	0.9251658669	224521.4036
167	0.3286084297	432816.6851	0.9255084761	224228.9381
168	0.3286155449	431690.7712	0.9258955312	223977.4028
169	0.3273477369	430976.2186	0.9261406498	223727.2421
170	0.3275383673	430615.2473	0.9262643222	223726.3163
171	0.3277612295	430337.3562	0.92635946	223736.3413
172	0.3268778517	429834.7193	0.9265313848	223486.9709
173	0.3247563407	429108.0853	0.9267795717	223054.8955
174	0.3229624463	428180.7811	0.927095689	222628.6209
175	0.3225655344	427506.4811	0.9273251279	222430.0395
176	0.3227643708	427216.32	0.9274237475	222427.7909
177	0.3229237671	426933.6185	0.9275197674	222431.9168
178	0.3228619349	425997.9929	0.9278371003	222249.9356
179	0.3228921611	425444.9606	0.9280243431	222079.7818
180	0.3219127999	424936.587	0.9281962509	221799.8352
181	0.3216663074	424125.4	0.9284701302	221573.3706
182	0.3208939401	423636.0831	0.9286350842	221383.0652
183	0.3204900162	423185.125	0.9287869384	221277.9353
184	0.3196082728	422341.9296	0.9290704394	220959.2886
185	0.3194834675	421495.7767	0.9293543664	220742.3625
186	0.3192524984	420734.0179	0.9296094878	220527.126
187	0.3182926872	419931.7035	0.9298776928	220230.5001
188	0.3173348307	419508.765	0.9300188704	219894.2897
189	0.3174298896	419101.9762	0.930154523	219859.3806
190	0.3172773782	418645.783	0.9303064941	219782.0592
191	0.3169601792	417681.3092	0.9306272433	219590.4441
192	0.3162002461	416974.1815	0.9308619383	219398.1998
193	0.3152848316	416591.4065	0.9309888151	219211.6185
194	0.3151599576	416152.2663	0.9311342315	219053.0959
195	0.3143833721	415726.8197	0.9312749672	218824.3557
196	0.3142329887	415134.9169	0.9314705263	218655.7568
197	0.3124900965	414148.5552	0.9317957918	218098.5162
198	0.3121082733	413263.6389	0.932086946	217821.8412
199	0.311564212	412622.5819	0.9322974768	217526.0262
200	0.31081349	412174.8624	0.9324443195	217367.9767
201	0.3104625949	411866.5221	0.9325453559	217307.1548
202	0.31009158	411372.8807	0.9327069542	217078.7555
203	0.3083684656	410941.2828	0.9328480831	216791.225
204	0.3081413368	410044.5977	0.933140818	216439.2564
205	0.307853958	409508.1144	0.9333156544	216362.918
206	0.3076799604	409243.7871	0.9334017128	216308.5293
207	0.3075973593	408842.706	0.9335321887	216142.5044
208	0.3070357735	408373.1552	0.933684776	215874.2073
209	0.3068431856	407797.9237	0.9338714667	215739.1377
210	0.3058988337	407496.1652	0.9339692968	215499.6993
211	0.3059310931	407287.9021	0.9340367735	215493.9389
212	0.3053601502	406843.9007	0.9341805136	215190.6484
213	0.3037881299	406333.5147	0.9343455512	214810.7532
214	0.3035522987	405436.9433	0.9346349635	214589.1128
215	0.3028353572	404801.2683	0.9348397714	214219.8995
216	0.30139608	404267.5509	0.9350114815	213910.4402
217	0.3013401959	403947.3824	0.9351143789	213881.2306
218	0.301088563	403431.8771	0.9352798833	213736.2684
219	0.3006612163	402966.0819	0.9354292464	213584.393
220	0.300203091	402619.6141	0.9355402337	213479.6988
221	0.3001884649	402458.3503	0.9355918603	213476.2019
222	0.299652219	401836.4689	0.9357907544	213321.7352
223	0.2994022743	401566.3861	0.9358770381	213240.2584
224	0.2987434686	401225.1474	0.9359859713	213025.73
225	0.2979962456	400881.5174	0.9360955742	212853.7244
226	0.2972519185	400560.6177	0.9361978423	212669.8803
227	0.2970421739	400136.0681	0.936333017	212503.2119
228	0.2963828986	399746.2241	0.9364570153	212353.369
229	0.2959150688	399187.137	0.9366346341	212224.7667
230	0.295638282	398202.6654	0.9369467908	211879.8231
231	0.294451055	397636.0336	0.9371261093	211596.7413
232	0.2943723568	397296.8245	0.9372333344	211532.0219
233	0.2943741837	397153.5262	0.937278604	211528.2296
234	0.2944539626	397013.0648	0.9373229616	211527.2121
235	0.2942920441	396762.9353	0.9374019133	211444.1942
236	0.2942957288	396639.5281	0.9374408477	211441.7671
237	0.2930862108	396305.3266	0.9375462258	211208.08
238	0.2926922075	395942.1779	0.9376606306	210921.3515
239	0.2913534723	395606.4958	0.9377662891	210680.5198
240	0.2912597146	394935.9492	0.9379770806	210460.3739
241	0.2912250036	394467.8466	0.9381240203	210422.8369
242	0.2910136818	393882.49	0.9383075213	210199.3055
243	0.2910316113	393712.8318	0.9383606559	210188.4316
244	0.2907175024	393382.1422	0.9384641574	210091.8022
245	0.2903406808	393020.55	0.9385772314	209973.4569
246	0.2902542225	392825.0581	0.9386383207	209946.7361
247	0.28935385	392447.9836	0.9387560668	209680.9885
248	0.2891706288	392028.3699	0.9388869634	209604.0015
249	0.2887644526	391414.4045	0.9390782348	209445.3854
250	0.2880091547	391002.9021	0.9392062642	209194.5453
251	0.2880659716	390893.9658	0.9392401347	209189.5764
252	0.2880159686	390593.5912	0.9393334782	209114.2643
253	0.28784094	390334.9981	0.9394137803	209021.7941
254	0.2878097767	390208.7414	0.9394529681	209018.5509
255	0.2877927063	389682.7855	0.9396160788	208794.9362
256	0.287713824	389470.1566	0.9396819573	208770.5817
257	0.2875109416	388749.8648	0.9399048571	208591.2681
258	0.2874774087	388593.2244	0.9399532761	208546.0038
259	0.2867096146	388308.928	0.9400411048	208422.5963
260	0.2856589646	387905.6654	0.9401655759	208125.7646
261	0.2852246687	387454.6763	0.9403046251	207916.671
262	0.2847532499	387062.2655	0.9404254819	207782.7676
263	0.2846154873	386904.9881	0.9404738866	207739.5431
264	0.2844880399	386601.6576	0.940567186	207660.7952
265	0.284473017	385910.069	0.9407796336	207432.8571
266	0.2839689725	385352.1816	0.9409507326	207305.6133
267	0.2838978093	385241.4874	0.9409846521	207297.8249
268	0.2838834841	384914.3818	0.9410848285	207117.987
269	0.2838553427	384232.5096	0.9412933789	206871.9841
270	0.2828941323	383861.9416	0.941406562	206629.4135
271	0.2828902153	383248.3002	0.9415937471	206387.5159
272	0.2825235361	382770.9752	0.9417391432	206120.9266
273	0.2818305159	382475.334	0.9418291064	205863.7255
274	0.2818848368	382291.4748	0.9418850195	205842.8401
275	0.2819316382	381832.6883	0.9420244229	205629.0926
276	0.2816670065	381517.5059	0.9421200949	205414.0679
277	0.2814390864	381222.7628	0.9422094911	205352.561
278	0.2809560847	380970.3708	0.9422859872	205209.8985
279	0.2804522973	380799.1932	0.9423378397	205119.4399
280	0.2804475356	380520.7613	0.9424221315	205073.9841
281	0.2801434622	380119.9313	0.9425433694	204991.1669
282	0.2801488383	379572.756	0.9427086658	204816.7188
283	0.2790852859	379306.5711	0.9427889916	204649.8099
284	0.2789750581	379030.9831	0.9428720955	204575.42
285	0.277969555	378625.8638	0.9429941502	204274.8909
286	0.2778283046	378471.1698	0.9430407221	204241.9087
287	0.2773631587	378057.6415	0.9431651247	203948.6558
288	0.2765080845	377548.5649	0.9433180846	203680.0947
289	0.2763205248	377147.1953	0.9434385369	203595.1016
290	0.2762951602	376992.563	0.9434849084	203572.7705
291	0.2754231864	376669.623	0.943581691	203357.9115
292	0.2753600931	376441.708	0.9436499455	203242.4185
293	0.2749554747	376048.6638	0.9437675547	203102.5278
294	0.2749841272	375698.8183	0.9438721343	202983.9629
295	0.2749124783	375467.5996	0.9439411993	202938.6873
296	0.2747009801	375218.165	0.9440156577	202865.3672
297	0.2746737418	375089.7133	0.9440539824	202843.9084
298	0.2745782521	374697.1443	0.9441710273	202717.5232
299	0.2743318693	374440.1768	0.9442475761	202615.2217
300	0.273664441	374106.905	0.9443467773	202398.066
301	0.2736291284	373853.8034	0.944422056	202288.902
302	0.2729414193	373503.9399	0.9445260304	201957.3011
303	0.2727435848	373245.6961	0.9446027142	201888.6478
304	0.272705509	373080.8624	0.9446516328	201857.8393
305	0.2727136342	372984.6002	0.944680191	201843.3997
306	0.2721470346	372682.1634	0.9447698674	201648.7295
307	0.2721766392	372121.5256	0.9449359114	201390.5895
308	0.2720949249	372075.8011	0.9449494426	201384.2773
309	0.2720900697	371582.1351	0.9450954266	201241.5054
310	0.2718112703	371147.6015	0.9452237639	201105.3899
311	0.2716632274	370932.4198	0.9452872612	201052.0674
312	0.2713121682	370677.4574	0.9453624495	200923.7797
313	0.2711231602	370270.8118	0.9454822622	200760.7027
314	0.2710260781	369854.481	0.9456047923	200597.3783
315	0.2703034097	369586.4829	0.9456835937	200401.4085
316	0.2695115076	369453.2886	0.9457227365	200288.196
317	0.2690041168	369179.4829	0.9458031576	200140.1059
318	0.2688237737	368959.015	0.9458678692	200063.8285
319	0.2688254304	368914.5074	0.9458809284	200058.6152
320	0.2688177457	368801.6384	0.9459140386	200038.1937
321	0.2684121234	368669.6955	0.9459527314	199962.2018
322	0.2683308377	368243.8734	0.946077511	199801.0204
323	0.2682302443	367708.1413	0.946234293	199596.4096
324	0.2677619021	367429.9984	0.9463156015	199432.6222
325	0.2677384821	367302.6454	0.9463528096	199421.6401
326	0.2670101623	366917.1747	0.946465352	199180.3869
327	0.2668259741	366806.4337	0.9464976622	199138.0477
328	0.2663222871	366481.2533	0.9465924817	198871.6463
329	0.2660345611	366172.0821	0.9466825551	198711.9999
330	0.2656258567	365943.8458	0.9467490002	198512.5472
331	0.2654886523	365752.9026	0.9468045567	198442.2662
332	0.2654571043	365538.5536	0.9468668886	198371.21
333	0.2646818371	365248.1164	0.9469512885	198150.7908
334	0.2646452133	364971.0784	0.9470317321	198054.4953
335	0.2646230502	364591.0757	0.9471419743	197972.4107
336	0.2645052152	364105.7341	0.9472826092	197872.3487
337	0.2640636283	363890.3449	0.9473449614	197714.2923
338	0.263892751	363775.574	0.947378171	197674.3818
339	0.2638084703	363596.1166	0.9474300768	197622.6027
340	0.2636964955	363397.3141	0.9474875482	197468.8059
341	0.2635449308	363251.8845	0.9475295702	197378.1946
342	0.263457063	362964.1995	0.9476126474	197306.6087
343	0.2634937159	362583.1872	0.9477225742	197191.3798
344	0.2634695255	362220.4013	0.9478271352	197097.0019
345	0.2633826883	361799.8906	0.9479482024	197021.0738
346	0.2629253322	361594.4053	0.9480073115	196914.1279
347	0.2625509286	361354.34	0.9480763253	196708.148
348	0.26249528	361002.4055	0.9481774163	196645.9842
349	0.2623083222	360571.6625	0.9483010105	196424.9178
350	0.2621665973	360264.4673	0.9483890646	196240.1279
351	0.2619923355	359897.489	0.9484941566	196094.8567
352	0.2619451062	359720.1957	0.9485448899	195998.1137
353	0.2619325866	359676.8072	0.9485573019	195992.4696
354	0.2617093154	359342.8279	0.9486527922	195794.3008
355	0.2615136454	358931.3781	0.9487703106	195719.1022
356	0.2613583915	358660.4135	0.9488476301	195604.0875
357	0.2612669783	358266.1489	0.9489600288	195323.9898
358	0.2610589596	357874.6141	0.9490715269	195125.941
359	0.2604243579	357611.681	0.9491463345	194993.0652
360	0.2604133195	357371.2433	0.9492146937	194936.7908
361	0.2603414021	357093.1049	0.9492937143	194882.2211
362	0.2601922297	356683.1755	0.9494100653	194674.7526
363	0.2601741178	356610.1955	0.9494307653	194653.067
364	0.2601802898	356266.7782	0.9495281152	194545.6668
365	0.2601019809	356002.9634	0.9496028362	194382.0502
366	0.2599538214	355894.2231	0.9496336189	194343.4292
367	0.259861673	355544.4978	0.949732557	194234.5507
368	0.2596741042	355170.7092	0.9498381951	194167.7011
369	0.2596288368	354880.9625	0.9499200052	194016.6174
370	0.2595698052	354570.6789	0.95000754	193849.9775
371	0.2595384117	354437.6154	0.9500450554	193812.0026
372	0.2589832936	354197.8493	0.9501126185	193619.9762
373	0.2590901193	354115.5096	0.9501358102	193553.5576
374	0.2590688396	354058.1987	0.9501519492	193546.6272
375	0.2588523189	353747.8803	0.9502392907	193357.5963
376	0.2588317138	353680.1871	0.9502583333	193337.1561
377	0.2588276576	353630.9839	0.9502721722	193328.5334
378	0.2586744264	353386.3771	0.950340942	193255.3481
379	0.2586653386	353136.1318	0.9504112477	193125.6417
380	0.2584002545	352727.2052	0.9505260274	192892.6655
381	0.2583449349	352641.3339	0.9505501133	192880.4294
382	0.2583203376	352266.2353	0.9506552553	192762.8775
383	0.2583157863	352212.9	0.9506701964	192752.6439
384	0.2583172254	351804.9698	0.950784397	192593.8417
385	0.2577560163	351695.1212	0.9508151266	192491.843
386	0.2575141378	351486.1091	0.9508735703	192345.1035
387	0.2574608767	351167.5525	0.9509625779	192198.8498
388	0.257258218	350943.7454	0.9510250633	192080.9329
389	0.2570398977	350628.7341	0.9511129448	191914.914
390	0.2570421742	350598.8697	0.9511212723	191910.2019
391	0.2570409629	350482.0806	0.9511538311	191885.1251
392	0.2563703581	350265.1875	0.9512142686	191770.0063
393	0.2559082811	350080.7533	0.9512656319	191578.2424
394	0.2552675289	349816.2556	0.9513392449	191421.2613
395	0.255251681	349719.2258	0.9513662356	191409.6374
396	0.2550317657	349327.352	0.9514751665	191364.9538
397	0.2549478888	349090.7465	0.9515408777	191337.5484
398	0.2549290065	349008.0028	0.9515638472	191298.5032
399	0.2549419319	348600.0722	0.9516770081	191125.6477
400	0.2548763046	348392.8743	0.9517344346	191058.3064
401	0.2547991642	348159.0105	0.9517992108	190968.7469
402	0.2547860146	347948.0999	0.9518575921	190885.3778
403	0.2547862779	347920.1927	0.9518653143	190881.4877
404	0.2544840678	347681.0643	0.9519314583	190687.4753
405	0.2544803092	347355.6932	0.9520213844	190553.3129
406	0.2538086163	347040.267	0.9521084815	190338.1702
407	0.2537822907	346948.2189	0.9521338834	190307.2731
408	0.2534905781	346676.594	0.9522088026	190110.7694
409	0.2534793752	346557.0569	0.9522417545	190077.2632
410	0.2532354556	346281.4269	0.9523176922	189851.1381
411	0.2531709934	346084.2678	0.9523719736	189790.5674
412	0.2526944385	345887.9271	0.952425999	189609.9308
413	0.2525077069	345669.5349	0.9524860561	189422.3479
414	0.2523672844	345339.4433	0.9525767581	189282.9702
415	0.2523240425	345051.5298	0.9526557998	189157.7201
416	0.2521749512	344906.2382	0.9526956621	189109.8103
417	0.2521722912	344646.2168	0.9527669597	189005.2812
418	0.2519924141	344480.5897	0.9528123465	188915.4013
419	0.2517237556	344343.2926	0.9528499535	188861.7708
420	0.2510154651	344085.9445	0.9529204032	188605.334
421	0.250847236	343771.1274	0.9530065135	188506.9032
422	0.2507070897	343598.1616	0.9530537905	188430.5573
423	0.2506547933	343341.2033	0.9531239812	188271.096
424	0.2506409076	343263.673	0.9531451491	188257.9498
425	0.2506435777	343121.1461	0.9531840503	188231.9302
426	0.2501711132	342946.994	0.9532315614	188040.7759
427	0.250263648	342748.0988	0.9532857932	187940.0549
428	0.2502487505	342698.0471	0.9532994356	187924.4372
429	0.2500967551	342328.2244	0.9534001751	187790.5209
430	0.2501002147	342110.9096	0.9534593208	187724.24
431	0.2496258276	341862.2287	0.9535269571	187582.9305
432	0.2496389759	341676.7136	0.9535773816	187548.8091
433	0.2494785654	341446.6721	0.9536398707	187350.6158
434	0.2494674806	341356.4494	0.9536643676	187332.8224
435	0.249309463	341051.0728	0.953747234	187240.4372
436	0.2489064712	340790.2601	0.9538179488	187036.386
437	0.2487868515	340558.9211	0.9538806272	186921.8472
438	0.2487703287	340310.8782	0.9539477839	186809.3892
439	0.2487759882	340170.5732	0.9539857494	186779.3679
440	0.2487562051	340096.7909	0.954005708	186763.4117
441	0.248769681	339860.313	0.9540696478	186677.1471
442	0.2486284542	339662.3957	0.9541231272	186483.5542
443	0.2484756792	339368.2869	0.954202541	186397.0082
444	0.2484011203	339046.0588	0.9542894685	186253.7957
445	0.2483506093	338640.5513	0.954398745	186120.4908
446	0.2483558267	338506.3273	0.954434887	186091.784
447	0.2482397543	338317.0259	0.9544858351	186060.9737
448	0.2479279507	338113.7033	0.9545405251	185901.6155
449	0.2479096034	337882.8549	0.9546025792	185794.2125
450	0.2474809322	337602.4972	0.9546778848	185531.1145
451	0.2474125063	337401.9416	0.9547317167	185508.1791
452	0.2473498665	337209.6141	0.9547833101	185418.3824
453	0.2467463082	336937.9588	0.9548561337	185286.812
454	0.2466083452	336682.5395	0.9549245513	185216.3624
455	0.246607845	336440.0409	0.9549894599	185106.3346
456	0.246600604	336347.7549	0.9550141494	185079.9104
457	0.2466023062	336131.184	0.9550720626	185013.6871
458	0.2464603842	335883.6592	0.9551382076	184945.5462
459	0.2462660999	335667.3838	0.955195962	184713.3229
460	0.2460664575	335475.7713	0.9552470993	184590.8647
461	0.2459748605	335243.2605	0.9553091123	184549.0383
462	0.2459027103	334989.5993	0.9553767172	184436.5572
463	0.2457670893	334672.3421	0.9554611996	184319.0736
464	0.2455000428	334445.4333	0.955521574	184144.4454
465	0.2455553396	334397.9203	0.9555342107	184099.4927
466	0.245545028	334144.6904	0.9556015305	184010.4606
467	0.2454268862	333985.2956	0.9556438786	183928.1535
468	0.2453953985	333825.7097	0.9556862573	183904.1021
469	0.2448946925	333622.7372	0.9557401281	183785.4861
470	0.2448900013	333565.2736	0.9557553736	183777.4246
471	0.2449008028	333451.7082	0.9557854954	183750.5766
472	0.2445006193	333242.0848	0.9558410686	183575.3538
473	0.2444985873	333038.71	0.9558949518	183480.5696
474	0.2442400286	332842.4711	0.9559469132	183358.747
475	0.2442507569	332718.615	0.9559796928	183324.5353
476	0.2441623631	332580.239	0.9560163008	183284.7117
477	0.2436045716	332339.83	0.956079866	183169.867
478	0.2435362247	332115.0804	0.9561392491	183100.5596
479	0.2435770936	331919.5806	0.9561908713	183043.0635
480	0.2431954559	331692.4708	0.9562508019	182840.7345
481	0.2431903078	331493.1196	0.9563033737	182764.1118
482	0.2427655648	331268.5103	0.9563625686	182648.3966
483	0.2427262837	331103.9316	0.9564059171	182614.7776
484	0.2425161004	330898.2451	0.9564600629	182456.4805
485	0.2424939122	330666.0713	0.9565211408	182308.995
486	0.2425349487	330481.9497	0.9565695471	182256.1826
487	0.2424077315	330260.8037	0.9566276517	182146.671
488	0.2424287477	330043.2495	0.9566847746	182088.9104
489	0.2424041467	329821.5584	0.956742945	181944.2828
490	0.2419332671	329590.082	0.9568036413	181818.2844
491	0.2418153425	329305.8405	0.9568781151	181773.8006
492	0.2417538151	329073.3788	0.9569389743	181729.3911
493	0.2416297893	328872.1291	0.9569916274	181629.8809
494	0.241210971	328657.3121	0.9570477946	181411.5576
495	0.2410703102	328486.2982	0.9570924825	181300.9347
496	0.2410240146	328243.2788	0.9571559464	181241.7744
497	0.2411098453	328134.18	0.9571844219	181196.7871
498	0.2410936953	327871.8545	0.9572528521	181137.6768
499	0.2410409885	327831.9994	0.9572632438	181087.1498
500	0.2409806912	327673.672	0.9573045136	181060.8842
501	0.240845098	327492.1239	0.9573518115	180925.0967
502	0.2407555739	327331.5063	0.9573936346	180835.0409
503	0.2407441529	327152.4087	0.9574402455	180800.9881
504	0.240270277	326945.9968	0.9574939334	180692.8012
