iter	MAPE	RMSE	R2	MAE
0	0.9564578617	2036076.15	-0.5981218267	1288166.779
1	0.914902241	1986916.752	-0.5218827416	1249742.787
2	0.8723558789	1938360.666	-0.4484083705	1212543.037
3	0.8348599154	1892034.062	-0.3800021103	1176567.622
4	0.8012721548	1847391.138	-0.31564755	1141681.901
5	0.7688621105	1804318.117	-0.2550125505	1108221.596
6	0.7420591149	1761425.829	-0.1960534004	1075670.797
7	0.7162601759	1720999.69	-0.1417826347	1044543.662
8	0.6933194348	1680928.363	-0.08923166919	1014211.671
9	0.671499388	1642326.986	-0.03977915723	985318.0305
10	0.6521660072	1604958.677	0.006999288758	957305.2886
11	0.6343881173	1569236.215	0.05071090061	930118.5876
12	0.6168498562	1534278.155	0.09253464725	903547.4394
13	0.6013494545	1500157.286	0.1324481489	878048.5761
14	0.5878802071	1467378.493	0.1699463796	853916.6912
15	0.5759692342	1435435.176	0.2056918497	830751.8108
16	0.5654603639	1405228.457	0.238770305	808694.7144
17	0.5535806444	1375205.611	0.2709503251	786448.5228
18	0.5399323322	1346447.064	0.3011235335	764535.5683
19	0.5314477073	1318200.285	0.3301390639	744557.2334
20	0.5241284959	1291111.57	0.3573871657	725395.3296
21	0.5172096767	1264511.523	0.3835931849	706827.2892
22	0.5100965677	1238848.5	0.4083590194	688869.6318
23	0.5050907715	1214679.318	0.4312189437	671898.3744
24	0.5019446408	1191735.669	0.4525030227	656230.4719
25	0.4962304428	1168483.291	0.4736594107	639915.1612
26	0.4920180945	1146036.932	0.4936870028	624556.2759
27	0.4898145657	1124903.956	0.5121877105	610511.1071
28	0.4825421404	1103818.713	0.5303034671	595071.3096
29	0.4787648045	1083816.172	0.5471721766	581316.6803
30	0.4726021858	1064246.675	0.5633771567	567050.5484
31	0.4688435932	1045598.864	0.5785441806	554108.0322
32	0.4629107834	1027394.983	0.5930915296	540713.6238
33	0.4613640322	1009765.132	0.6069366156	529381.5468
34	0.4592612638	992534.3863	0.6202367171	518094.4792
35	0.4548044471	975408.3962	0.6332291358	506542.0936
36	0.4535632156	959364.0083	0.6451958491	496251.991
37	0.4524885567	943958.8719	0.6564990088	486422.7329
38	0.4464523412	928641.1335	0.6675566252	475192.6828
39	0.4468621556	914384.3079	0.6776858455	466711.8829
40	0.4405751611	900470.8918	0.6874199858	456766.638
41	0.4370228761	887153.9115	0.6965970544	447509.5114
42	0.4372550637	874307.8391	0.7053200456	439954.2785
43	0.435275262	861343.9523	0.7139940508	431657.3749
44	0.4358927698	849010.2442	0.7221261295	424611.9658
45	0.436177249	837255.5214	0.7297673066	417795.0837
46	0.4371795969	825912.3379	0.73703996	411487.6278
47	0.4361332712	815119.7797	0.7438674855	404816.3875
48	0.436169841	804302.1852	0.7506207316	398534.8936
49	0.4347307382	793721.0099	0.7571390989	391918.0496
50	0.4332497563	783619.963	0.7632811556	385842.4702
51	0.4304802829	773287.6959	0.7694824212	379395.8434
52	0.4306180974	763718.2207	0.7751524532	374227.1607
53	0.426911278	754648.027	0.7804614805	368002.2382
54	0.4261925281	745665.1684	0.7856568727	362895.3029
55	0.422200934	737136.4805	0.7905320131	356985.5789
56	0.4193816625	728264.2297	0.7955440246	351454.8453
57	0.41985268	720228.7121	0.8000309835	347164.4258
58	0.4198633235	712512.3418	0.8042928772	343025.6853
59	0.4194153074	705055.6135	0.80836775	338804.0755
60	0.4179068574	697934.3104	0.8122193029	334753.8058
61	0.415418008	690719.2755	0.8160816759	330202.8994
62	0.4115501244	683980.8636	0.8196526556	325536.9506
63	0.4120970475	677040.483	0.8232940697	322373.6464
64	0.4128872055	670617.5184	0.8266309227	319361.5892
65	0.4124567755	664741.1494	0.8296559468	316028.3348
66	0.4088797554	658492.4596	0.8328434258	312293.0664
67	0.4069867971	652564.0968	0.8358396758	308908.2733
68	0.4063817811	646787.1401	0.838733336	305999.7982
69	0.4070072716	641384.9367	0.8414160024	303731.2465
70	0.4044171397	636172.8381	0.8439829382	300587.8689
71	0.4011945295	630747.1087	0.8466328362	297453.8725
72	0.3998979133	625612.5165	0.8491196415	294659.251
73	0.3966053494	620991.3227	0.8513404161	291929.6335
74	0.3935730877	615739.1446	0.8538444279	289123.6693
75	0.3922779891	611096.2924	0.8560402291	286854.5738
76	0.3919385734	606819.5729	0.8580481652	285040.1088
77	0.3915121087	602534.4927	0.8600458837	283100.0046
78	0.3906793165	598125.8573	0.8620864288	281097.7304
79	0.3882409857	594395.3406	0.8638014004	278758.8203
80	0.3879168096	590036.0951	0.865791813	276929.5275
81	0.3887840756	585718.7426	0.8677486566	275486.3089
82	0.3864414437	582188.0354	0.8693382709	273513.4529
83	0.3848720236	578504.4911	0.8709864519	271828.5195
84	0.3843918658	575115.0369	0.8724938023	270256.1427
85	0.3835117233	571605.6021	0.8740451769	268690.6149
86	0.3808326434	568530.1353	0.8753969053	267068.3178
87	0.3813557988	565412.5288	0.8767597119	266084.5411
88	0.3807656491	561969.0092	0.8782562761	264650.1928
89	0.3779684963	558806.3503	0.8796227231	263054.5284
90	0.3771377537	555882.7184	0.8808790373	261891.293
91	0.3775341226	552672.5117	0.8822509048	260809.227
92	0.3753211515	549673.9798	0.8835251372	259619.6412
93	0.3729196443	547101.4209	0.8846128266	258253.3148
94	0.3741698749	544466.3311	0.8857216642	257754.8631
95	0.3745619821	541874.259	0.886807177	256980.7814
96	0.3727478476	539479.4577	0.8878054725	255767.6171
97	0.3708332909	537109.7925	0.8887889374	254775.0474
98	0.3683209358	534452.7945	0.8898865034	253654.142
99	0.3653753796	532228.363	0.8908011967	252428.9994
100	0.3648247864	529880.4419	0.8917625308	251531.4257
101	0.3623892282	527507.1416	0.8927299367	250651.5107
102	0.3627314289	525217.1676	0.8936592605	249978.4465
103	0.3617967594	523060.4698	0.8945308008	249053.0645
104	0.3607106643	521146.3179	0.8953013223	248399.909
105	0.3603686383	519022.9531	0.8961527553	247646.2476
106	0.3585025548	517254.744	0.8968591243	246680.0412
107	0.3578756425	515179.1111	0.8976852281	246313.0327
108	0.3573368863	513189.6178	0.8984739306	245976.4671
109	0.3573207433	511020.8694	0.8993302193	245276.6072
110	0.3555172919	509259.4913	0.9000229972	244392.1546
111	0.3530268031	507735.0276	0.9006206618	243516.0464
112	0.3533407681	506188.804	0.901225027	243151.2819
113	0.3531723578	504390.7343	0.9019255121	242835.8807
114	0.3525634602	502885.124	0.9025101444	242379.8404
115	0.351899551	501186.1147	0.9031677752	241958.5499
116	0.3513571597	499904.6678	0.903662309	241418.6475
117	0.3490705061	498340.0731	0.904264398	240810.8655
118	0.3483592651	496768.4356	0.9048672972	240544.8259
119	0.3478770952	495247.5259	0.9054489233	240354.5748
