iter	MAPE	RMSE	R2	MAE
0	0.9553735767	2047140.934	-0.583950039	1284946.517
1	0.9127978106	1999040.307	-0.5103899812	1246690.451
2	0.8720534996	1952306.817	-0.4405957718	1209530.689
3	0.8339340504	1906986.17	-0.3744884076	1173630.745
4	0.7997580264	1862672.332	-0.3113509088	1138821.241
5	0.7669417103	1820842.399	-0.2531143675	1105454.63
6	0.7397491605	1778943.705	-0.1961080249	1073201.702
7	0.7137025995	1739470.311	-0.1436155076	1042337.592
8	0.6906237246	1700734.16	-0.09324843395	1012426.811
9	0.6700146817	1662322.454	-0.04442326284	983538.7018
10	0.650498066	1626020.998	0.0006944634031	955273.6782
11	0.6326852099	1590228.158	0.0442047398	928109.9296
12	0.615958583	1556086.044	0.08480590475	901826.0389
13	0.5997488562	1522348.9	0.1240599379	876247.6038
14	0.5864408079	1490710.177	0.1600906286	852182.8643
15	0.5739150012	1459683.463	0.1946894841	828715.361
16	0.5627836712	1430085.603	0.2270167848	806115.4473
17	0.550796349	1400839.992	0.2583089173	783916.6518
18	0.5419020967	1372539.615	0.2879741337	763240.0071
19	0.531537548	1345536.603	0.3157149886	742890.4163
20	0.52281944	1319061.984	0.3423778965	723512.9056
21	0.5137102118	1294431.44	0.3667078573	704404.5693
22	0.5083566943	1270016.519	0.3903722411	687182.928
23	0.5030105823	1246557.576	0.412685559	670153.1942
24	0.4970025025	1224009.786	0.433740144	653541.2776
25	0.4929590886	1201171.627	0.4546741002	637936.4817
26	0.4885850124	1179734.366	0.4739652249	622737.9918
27	0.4860342696	1158787.212	0.4924797423	608782.9495
28	0.4791652089	1138384.739	0.5101939732	593373.8421
29	0.4764914216	1119562.461	0.5262571694	580108.2861
30	0.4703439473	1100332.543	0.5423916828	565896.4628
31	0.4681264478	1082281.2	0.5572829748	553637.2947
32	0.4648304571	1064507.017	0.5717049537	541447.2106
33	0.4637557674	1047606.179	0.5851968009	530495.5795
34	0.4609281426	1031196.906	0.598089644	519016.2103
35	0.4614122101	1014953.291	0.6106518581	509233.2846
36	0.4589158481	999320.3447	0.6225534566	498862.6185
37	0.4563413496	984044.7489	0.6340045464	488715.4309
38	0.4522041645	969046.4496	0.6450761501	478600.7483
39	0.4512883981	954521.6383	0.6556361534	469599.0696
